Respondent,Gender,Age,Country,EdLevel,DevType,YearsCode,YearsCodePro,Employment,ConvertedComp,JobSat,JobSeek,NEWLearn,OrgSize,WorkWeekHrs,JobFactors,exp_tier,JobSat_score
15,Man,,France,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Not stated,4,,Student,,Not stated,"I’m not actively looking, but I am open to new opportunities",Once every few years,Not stated,,"Languages, frameworks, and other technologies I’d be working with;Remote work options",,
16,Man,45.0,United Kingdom,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, QA or test;DevOps specialist",37,23.0,"Independent contractor, freelancer, or self-employed",108576.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,"Just me - I am a freelancer, sole proprietor, etc.",50.0,Industry that I’d be working in;Diversity of the company or organization;Remote work options,20y+,4.0
17,Man,25.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",7,3.0,Employed full-time,79000.0,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,20 to 99 employees,40.0,"Industry that I’d be working in;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",2-5y,1.0
18,Man,32.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",19,12.0,Employed full-time,1260000.0,Very satisfied,I am not interested in new job opportunities,Once every few years,100 to 499 employees,45.0,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Office environment or company culture",10-20y,4.0
19,Man,24.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",9,3.0,Employed full-time,83400.0,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,"10,000 or more employees",35.0,Flex time or a flexible schedule;Office environment or company culture;Opportunities for professional development,2-5y,1.0
20,Man,40.0,Spain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications",22,17.0,Employed full-time,,Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,100 to 499 employees,50.0,Not stated,10-20y,2.0
21,Man,23.0,Belgium,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Not stated,7,,Student,,Not stated,"I’m not actively looking, but I am open to new opportunities",Every few months,Not stated,,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Opportunities for professional development",,
22,Man,,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack;Engineer, data",10,2.0,Employed full-time,,Slightly dissatisfied,I am actively looking for a job,Every few months,500 to 999 employees,50.0,Not stated,0-2y,1.0
23,Man,27.0,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, QA or test;Educator",8,3.0,Employed full-time,,Very satisfied,I am not interested in new job opportunities,Every few months,100 to 499 employees,40.0,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",2-5y,4.0
24,Man,45.0,Germany,"Professional degree (JD, MD, etc.)","Developer, back-end",30,20.0,Employed full-time,91883.0,Very satisfied,I am not interested in new job opportunities,Every few months,20 to 99 employees,42.0,"Languages, frameworks, and other technologies I’d be working with;Specific department or team I’d be working on;Office environment or company culture",10-20y,4.0
25,Man,,Portugal,"Associate degree (A.A., A.S., etc.)","Developer, back-end;Developer, full-stack;DevOps specialist;Engineer, data;System administrator",23,18.0,Employed full-time,,Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,100 to 499 employees,40.0,"Languages, frameworks, and other technologies I’d be working with;Specific department or team I’d be working on;Opportunities for professional development",10-20y,2.0
26,Man,,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",17,10.0,Employed full-time,71093.0,Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,100 to 499 employees,40.0,Flex time or a flexible schedule;Remote work options;Office environment or company culture,5-10y,2.0
27,Man,,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Database administrator;Developer, full-stack;Engineering manager;Product manager;System administrator",20,20.0,Employed full-time,,Not stated,Not stated,Once every few years,Not stated,,Not stated,10-20y,
28,Man,,China,Some college/university study without earning a degree,Not stated,2,,Student,,Not stated,"I’m not actively looking, but I am open to new opportunities",Every few months,Not stated,,"Diversity of the company or organization;Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be",,
29,Man,18.0,Ukraine,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Not stated,0,,Student,,Not stated,"I’m not actively looking, but I am open to new opportunities",Every few months,Not stated,,Specific department or team I’d be working on;Office environment or company culture;Opportunities for professional development,,
30,Man,,United Kingdom,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Data or business analyst;Database administrator;Developer, back-end;Developer, front-end;Developer, full-stack;System administrator",4,2.0,Employed full-time,38778.0,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Not stated,Not stated,37.0,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Opportunities for professional development",0-2y,1.0
31,Man,,Russian Federation,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Academic researcher,6,3.0,Employed full-time,,Slightly satisfied,I am not interested in new job opportunities,Once every few years,20 to 99 employees,,Not stated,2-5y,3.0
32,Man,31.0,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, QA or test",19,10.0,Employed full-time,31764.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Every few months,10 to 19 employees,37.0,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be",5-10y,3.0
33,Man,39.0,Belgium,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack;Developer, mobile",20,14.0,Employed full-time,63564.0,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,500 to 999 employees,40.0,Flex time or a flexible schedule;Remote work options;Opportunities for professional development,10-20y,1.0
34,Man,29.0,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end;Developer, full-stack",10,,"Not employed, but looking for work",,Not stated,I am actively looking for a job,Once a year,Not stated,,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Specific department or team I’d be working on",,
35,Woman,16.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Designer;Developer, front-end",3,,"Not employed, but looking for work",,Not stated,"I’m not actively looking, but I am open to new opportunities",Once a year,Not stated,,Flex time or a flexible schedule;Remote work options;Office environment or company culture,,
36,Man,34.0,United Kingdom,Some college/university study without earning a degree,Data or business analyst;Data scientist or machine learning specialist,4,3.0,Employed full-time,77556.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Every few months,"1,000 to 4,999 employees",40.0,Flex time or a flexible schedule;Office environment or company culture;Opportunities for professional development,2-5y,3.0
37,Man,19.0,France,"Associate degree (A.A., A.S., etc.)","Developer, front-end",2,1.0,Employed full-time,,Very satisfied,I am not interested in new job opportunities,Once a year,20 to 99 employees,39.0,"Languages, frameworks, and other technologies I’d be working with",0-2y,4.0
38,Man,35.0,Italy,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack;Engineering manager",20,12.0,Employed full-time,97288.0,Very satisfied,I am not interested in new job opportunities,Every few months,500 to 999 employees,40.0,Flex time or a flexible schedule;Remote work options;Office environment or company culture,10-20y,4.0
40,Woman,20.0,United States,"Associate degree (A.A., A.S., etc.)",Not stated,6,,Student,,Not stated,"I’m not actively looking, but I am open to new opportunities",Once a year,Not stated,,Industry that I’d be working in;Flex time or a flexible schedule;Office environment or company culture,,
42,Man,32.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;DevOps specialist",16,10.0,Employed full-time,130000.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,"1,000 to 4,999 employees",37.0,Remote work options;How widely used or impactful my work output would be;Office environment or company culture,5-10y,4.0
44,Man,32.0,Brazil,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Data or business analyst;Developer, back-end;Product manager",10,6.0,Employed full-time,55893.0,Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,10 to 19 employees,45.0,Industry that I’d be working in;Specific department or team I’d be working on;Opportunities for professional development,5-10y,2.0
45,Man,22.0,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack",9,2.0,Employed full-time,36753.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,"10,000 or more employees",35.0,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Office environment or company culture",0-2y,4.0
46,Man,24.0,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, game or graphics",6,4.0,Employed full-time,37834.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,2 to 9 employees,35.0,Industry that I’d be working in;Specific department or team I’d be working on;How widely used or impactful my work output would be,2-5y,3.0
47,Man,53.0,United Kingdom,"Other doctoral degree (Ph.D., Ed.D., etc.)","Data scientist or machine learning specialist;Developer, back-end;Developer, QA or test;Engineer, data;Scientist",43,28.0,Employed full-time,74970.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,10 to 19 employees,40.0,Remote work options;How widely used or impactful my work output would be;Opportunities for professional development,20y+,4.0
48,Man,38.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",8,8.0,Employed full-time,125000.0,Slightly dissatisfied,I am actively looking for a job,Once every few years,10 to 19 employees,30.0,Flex time or a flexible schedule;Remote work options;Financial performance or funding status of the company or organization,5-10y,1.0
49,Man,23.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack",8,4.0,Employed full-time,52000.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,100 to 499 employees,40.0,Industry that I’d be working in;Flex time or a flexible schedule;Remote work options,2-5y,4.0
50,Man,57.0,Austria,Some college/university study without earning a degree,"Designer;Developer, front-end;Developer, full-stack",10,9.0,"Independent contractor, freelancer, or self-employed",,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,"Just me - I am a freelancer, sole proprietor, etc.",35.0,Flex time or a flexible schedule;Specific department or team I’d be working on;Office environment or company culture,5-10y,3.0
52,Man,28.0,United Kingdom,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile",11,6.0,Employed full-time,90482.0,Very satisfied,I am not interested in new job opportunities,Once a year,10 to 19 employees,35.0,Flex time or a flexible schedule;Remote work options;Office environment or company culture,5-10y,4.0
53,Man,17.0,United States,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Academic researcher;Developer, full-stack",8,3.0,"Independent contractor, freelancer, or self-employed",,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,"Just me - I am a freelancer, sole proprietor, etc.",5.0,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be",2-5y,3.0
54,Man,44.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",38,23.0,Employed full-time,160000.0,Very satisfied,I am not interested in new job opportunities,Once every few years,"10,000 or more employees",40.0,Flex time or a flexible schedule;Remote work options;Opportunities for professional development,20y+,4.0
55,Man,,United States,"Associate degree (A.A., A.S., etc.)",Not stated,2,,"Not employed, but looking for work",,Not stated,I am actively looking for a job,Not stated,Not stated,,Industry that I’d be working in;Diversity of the company or organization;Office environment or company culture,,
56,Woman,27.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",6,4.0,Employed full-time,,Very satisfied,I am not interested in new job opportunities,Once a year,500 to 999 employees,40.0,Diversity of the company or organization;Specific department or team I’d be working on;Office environment or company culture,2-5y,4.0
57,Man,44.0,United States,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Database administrator;Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Product manager",33,23.0,Employed full-time,1620000.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Once a decade,"10,000 or more employees",43.0,Industry that I’d be working in;Specific department or team I’d be working on;Office environment or company culture,20y+,4.0
59,Man,38.0,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Data or business analyst;Developer, back-end;Developer, front-end;Developer, full-stack;Developer, QA or test",24,15.0,Employed full-time,16488.0,Slightly satisfied,I am not interested in new job opportunities,Every few months,500 to 999 employees,40.0,Industry that I’d be working in;Diversity of the company or organization;Remote work options,10-20y,3.0
61,Man,31.0,Mexico,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",16,9.0,Employed full-time,,Neither satisfied nor dissatisfied,I am actively looking for a job,Once every few years,2 to 9 employees,40.0,"Industry that I’d be working in;Languages, frameworks, and other technologies I’d be working with;Opportunities for professional development",5-10y,2.0
62,Man,20.0,United Kingdom,Some college/university study without earning a degree,Not stated,7,,Student,,Not stated,"I’m not actively looking, but I am open to new opportunities",Once every few years,Not stated,,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development",,
63,Man,21.0,India,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Designer;Developer, back-end;Developer, front-end;Developer, mobile;Developer, QA or test",4,,"Not employed, but looking for work",,Not stated,I am actively looking for a job,Once a year,Not stated,,Flex time or a flexible schedule;How widely used or impactful my work output would be;Office environment or company culture,,
64,Man,34.0,United Kingdom,Some college/university study without earning a degree,"Developer, back-end;Developer, full-stack;Educator",20,13.0,Employed full-time,94359.0,Very satisfied,I am not interested in new job opportunities,Once every few years,100 to 499 employees,40.0,Flex time or a flexible schedule;How widely used or impactful my work output would be;Office environment or company culture,10-20y,4.0
65,Man,34.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, front-end;Developer, full-stack",21,14.0,Employed full-time,1176000.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,10 to 19 employees,40.0,Remote work options;How widely used or impactful my work output would be;Office environment or company culture,10-20y,3.0
66,Woman,21.0,Canada,Not stated,Not stated,12,,Student,,Not stated,"I’m not actively looking, but I am open to new opportunities",Once a year,Not stated,,Industry that I’d be working in;Flex time or a flexible schedule;Opportunities for professional development,,
67,Man,35.0,United States,"Professional degree (JD, MD, etc.)","Developer, full-stack;Product manager;Senior executive/VP",30,15.0,Employed full-time,250000.0,Very satisfied,I am not interested in new job opportunities,Once a year,2 to 9 employees,40.0,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Office environment or company culture",10-20y,4.0
68,Man,20.0,United States,Some college/university study without earning a degree,Not stated,10,,Student,,Not stated,"I’m not actively looking, but I am open to new opportunities",Every few months,Not stated,,"Languages, frameworks, and other technologies I’d be working with;Specific department or team I’d be working on;How widely used or impactful my work output would be",,
69,Man,25.0,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Data scientist or machine learning specialist;Database administrator;Developer, back-end;Developer, full-stack;Engineer, data",13,3.0,Employed full-time,594539.0,Very satisfied,I am not interested in new job opportunities,Once a year,20 to 99 employees,40.0,Flex time or a flexible schedule;How widely used or impactful my work output would be;Opportunities for professional development,2-5y,4.0
70,Man,25.0,United Kingdom,Not stated,Not stated,6,6.0,Employed full-time,23913.0,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Not stated,10 to 19 employees,40.0,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Opportunities for professional development",5-10y,1.0
71,Man,23.0,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack",8,2.0,Employed full-time,,Very satisfied,I am not interested in new job opportunities,Once a year,Not stated,35.0,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Opportunities for professional development",0-2y,4.0
72,Man,25.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Data or business analyst;Data scientist or machine learning specialist;Engineer, data",10,,"Not employed, but looking for work",,Not stated,I am actively looking for a job,Once every few years,Not stated,,"Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be;Office environment or company culture",,
73,Man,,Sweden,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack",23,15.0,Employed full-time,,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Once every few years,"5,000 to 9,999 employees",40.0,Industry that I’d be working in;Office environment or company culture;Opportunities for professional development,10-20y,4.0
74,Man,34.0,United Kingdom,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, game or graphics;DevOps specialist;Educator",17,11.0,"Independent contractor, freelancer, or self-employed",124092.0,Neither satisfied nor dissatisfied,I am actively looking for a job,Every few months,"Just me - I am a freelancer, sole proprietor, etc.",35.0,Diversity of the company or organization;Flex time or a flexible schedule;Remote work options,10-20y,2.0
76,Man,19.0,United States,Some college/university study without earning a degree,Not stated,9,,Student,,Not stated,I am not interested in new job opportunities,Once every few years,Not stated,,"Languages, frameworks, and other technologies I’d be working with;Specific department or team I’d be working on;Opportunities for professional development",,
77,Man,,United States,"Other doctoral degree (Ph.D., Ed.D., etc.)",Academic researcher;Data scientist or machine learning specialist;Scientist,30,16.0,Employed full-time,,Very dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,100 to 499 employees,60.0,How widely used or impactful my work output would be;Office environment or company culture;Opportunities for professional development,10-20y,0.0
78,Man,27.0,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Not stated,3,,Student,,Not stated,Not stated,Every few months,Not stated,,Not stated,,
79,Man,28.0,Canada,Not stated,"Developer, full-stack",10,7.0,Employed full-time,37816.0,Very dissatisfied,"I’m not actively looking, but I am open to new opportunities",Once a decade,20 to 99 employees,35.0,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",5-10y,0.0
80,Man,32.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",DevOps specialist,21,7.0,Employed full-time,94500.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,"10,000 or more employees",40.0,Flex time or a flexible schedule;Specific department or team I’d be working on;Family friendliness,5-10y,4.0
81,Man,18.0,United States,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Not stated,5,,Student,,Not stated,I am not interested in new job opportunities,Every few months,Not stated,,"Industry that I’d be working in;Languages, frameworks, and other technologies I’d be working with;Remote work options",,
82,Man,48.0,United States,"Associate degree (A.A., A.S., etc.)","Developer, back-end;Developer, full-stack;Developer, mobile",37,25.0,Employed full-time,117000.0,Slightly satisfied,I am not interested in new job opportunities,Once every few years,"1,000 to 4,999 employees",40.0,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Remote work options",20y+,3.0
83,Man,20.0,Poland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, back-end",2,0.0,Employed full-time,3036.0,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Every few months,20 to 99 employees,40.0,Flex time or a flexible schedule;Office environment or company culture;Opportunities for professional development,0-2y,4.0
84,Man,25.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, front-end;Developer, full-stack",13,2.0,Employed full-time,,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,2 to 9 employees,60.0,Flex time or a flexible schedule;Specific department or team I’d be working on;Remote work options,0-2y,3.0
85,Woman,21.0,United States,Some college/university study without earning a degree,"Developer, back-end;Developer, desktop or enterprise applications;Developer, full-stack",6,1.0,Employed part-time,,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Once a year,Not stated,24.0,Flex time or a flexible schedule;Remote work options;Office environment or company culture,0-2y,4.0
86,Man,26.0,France,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile;Senior executive/VP",5,3.0,"Independent contractor, freelancer, or self-employed",108100.0,Very dissatisfied,I am actively looking for a job,Every few months,"Just me - I am a freelancer, sole proprietor, etc.",60.0,Flex time or a flexible schedule;Remote work options;Office environment or company culture,2-5y,0.0
87,Man,22.0,Mexico,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices",5,2.0,Employed full-time,,Very dissatisfied,I am not interested in new job opportunities,Every few months,20 to 99 employees,40.0,"Languages, frameworks, and other technologies I’d be working with;Specific department or team I’d be working on;Office environment or company culture",0-2y,0.0
88,Woman,21.0,Canada,Some college/university study without earning a degree,Not stated,7,,Student,,Not stated,I am actively looking for a job,Once a year,Not stated,,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development",,
89,Woman,28.0,United States,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack",6,2.0,Employed full-time,130000.0,Very satisfied,I am not interested in new job opportunities,Once a year,500 to 999 employees,45.0,"Industry that I’d be working in;Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with",0-2y,4.0
91,Man,28.0,Indonesia,Some college/university study without earning a degree,Designer,3,2.0,Employed full-time,61476.0,Very satisfied,I am not interested in new job opportunities,Every few months,20 to 99 employees,60.0,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Remote work options",0-2y,4.0
92,Man,31.0,France,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, full-stack;DevOps specialist;System administrator",19,10.0,Employed full-time,57292.0,Neither satisfied nor dissatisfied,I am actively looking for a job,Once a year,20 to 99 employees,30.0,Industry that I’d be working in;How widely used or impactful my work output would be;Opportunities for professional development,5-10y,2.0
93,Man,42.0,Greece,"Other doctoral degree (Ph.D., Ed.D., etc.)","Academic researcher;Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, game or graphics;Developer, mobile;Educator;Scientist;System administrator",24,15.0,Employed full-time,21620.0,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Not stated,20 to 99 employees,25.0,"Languages, frameworks, and other technologies I’d be working with;Remote work options",10-20y,3.0
94,Man,21.0,Canada,Some college/university study without earning a degree,Not stated,9,2.0,Employed full-time,37816.0,Very satisfied,I am not interested in new job opportunities,Once every few years,20 to 99 employees,40.0,Not stated,0-2y,4.0
95,Man,,Canada,Some college/university study without earning a degree,"Developer, full-stack",40,25.0,Employed full-time,71850.0,Very satisfied,I am not interested in new job opportunities,Every few months,"10,000 or more employees",40.0,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Remote work options",20y+,4.0
96,Man,29.0,Israel,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Designer;Developer, back-end;Developer, front-end;Developer, full-stack;Educator",3,2.0,Employed part-time,35028.0,Very dissatisfied,I am not interested in new job opportunities,Every few months,"1,000 to 4,999 employees",16.0,"Languages, frameworks, and other technologies I’d be working with;Specific department or team I’d be working on;How widely used or impactful my work output would be",0-2y,0.0
97,Woman,30.0,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",17,4.0,Employed full-time,75631.0,Slightly dissatisfied,I am actively looking for a job,Once a year,"5,000 to 9,999 employees",35.0,"Diversity of the company or organization;Languages, frameworks, and other technologies I’d be working with;Opportunities for professional development",2-5y,1.0
98,Man,29.0,Czech Republic,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, desktop or enterprise applications;Engineering manager",10,5.0,Employed full-time,41568.0,Slightly satisfied,I am not interested in new job opportunities,Once every few years,100 to 499 employees,40.0,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",2-5y,3.0
